"control_1" "control_2" "control_3" "fe_starved_no_ox_1" "fe_starved_no_ox_2" "fe_starved_no_ox_3" "ox_stress_with_fe_1" "ox_stress_with_fe_2" "ox_stress_with_fe_3" "fe_starved_ox_stress_1" "fe_starved_ox_stress_2" "fe_starved_ox_stress_3"
"Afu1g03470" 9 12 6 10 3 2 19 10 4 3 3 4
"Afu1g03480" 14 27 13 15 11 13 29 18 13 11 3 12
"Afu1g03490" 875 712 639 1100 1112 1229 1016 921 717 961 701 935
"Afu1g03500" 2670 2288 2215 2575 2945 3029 3412 2996 2326 3484 4112 3114
"Afu1g03510" 8112 6906 6570 8693 8553 9388 8190 8474 6947 4700 2946 4823
"Afu1g03520" 5 9 1 3 4 5 4 3 3 3 4 1
"Afu1g03530" 236 182 173 185 219 216 190 218 186 246 86 222
"Afu1g03540" 523 455 427 913 973 998 712 656 515 674 454 618
"Afu1g03550" 864 675 648 185 149 158 921 669 619 107 14 56
"Afu1g03560" 254 194 203 314 299 323 446 334 248 358 97 300
"Afu1g03570" 9 11 12 25 25 26 26 17 10 2 1 5
"Afu1g03580" 34 41 45 39 45 36 49 47 36 141 55 139
"Afu1g03590" 543 433 377 541 612 596 639 495 403 562 163 480
"Afu1g03600" 2192 1043 1130 217 266 238 914 1007 901 1045 3928 1215
"Afu1g03610" 71135 55170 48284 44003 54223 54265 53574 52459 40297 35566 103434 45933
"Afu1g03620" 460 377 389 452 437 459 460 530 396 191 166 166
"Afu1g03630" 5944 4032 4357 9685 10825 11471 3123 5689 3648 3406 4528 3078
"Afu1g03640" 224 208 167 282 257 290 294 262 222 108 83 88
"Afu1g03650" 2226 1656 1610 1239 1404 1651 1309 1916 1387 455 562 343
"Afu1g03660" 2059 2142 2293 1914 2179 2406 1299 1623 1169 199 190 179
"Afu1g03670" 1 4 0 1 1 0 0 0 0 1 0 1
"Afu1g03680" 2484 1923 1782 1083 1264 1195 2072 1888 1677 2446 1367 2395
"Afu1g03690" 241 232 186 217 213 251 309 212 192 56 17 51
"Afu1g03700" 143 141 150 250 290 288 151 148 125 99 62 91
"Afu1g03710" 965 794 774 524 736 814 913 1009 806 1537 1269 1862
"Afu1g03720" 2933 2445 2481 1668 1989 1956 2605 2382 2072 3940 2353 3761
"Afu1g03730" 675 675 655 1342 1351 1424 1006 748 660 3057 3008 2291
"Afu1g03740" 1383 1126 984 1472 1532 1440 1605 1278 949 858 148 741
"Afu1g03750" 342 332 261 568 559 601 495 443 322 135 37 95
"Afu1g03760" 1117 836 856 1155 1375 1303 1479 1270 1006 2281 1101 2070
"Afu1g03775" 229 180 163 194 221 210 315 255 222 41 27 25
"Afu1g03790" 837 940 912 1911 2098 2497 1103 1026 868 1019 1928 1082
"Afu1g03800" 2714 1411 1170 4882 4561 5893 1195 1123 1102 13404 70866 13444
"Afu1g03810" 541 465 407 432 502 466 696 543 420 276 76 220
"Afu1g03820" 203 171 166 314 290 288 385 263 187 353 178 377
"Afu1g03830" 675 558 562 1086 1021 1149 1068 818 628 1691 825 1631
"Afu1g03840" 2011 1581 1431 1515 1919 1851 2003 1809 1440 1323 557 1274
"Afu1g03860" 146 115 105 171 155 151 178 124 114 128 35 108
"Afu1g03870" 151 108 126 134 109 110 328 199 149 169 42 109
"Afu1g03880" 619 441 396 388 466 356 599 501 414 269 52 259
"Afu1g03890" 1407 1364 1298 1482 1732 1894 1428 1608 1237 1450 2078 1849
